date,product,marketPrice
26/07/2019,Moloko Plus,27.13
26/07/2019,Pan-Galactic Gargle Blaster,1068.57
26/07/2019,Victory Gin,17.29
26/07/2019,Vesper,242.98
26/07/2019,Duff,244.84
26/07/2019,Dark Planet Cola,74.54
26/07/2019,Slurm,74.77
26/07/2019,Nuka-cola,38.81
26/07/2019,Ent-draught,18.3
26/07/2019,Ambrosia,85.92
26/07/2019,Romulan Ale,112.07
26/07/2019,Astro Boys,1740.52
26/07/2019,Marvins,97.09
26/07/2019,K-9s,86.69
26/07/2019,Autobots,37.69
26/07/2019,Decepticons,51.74
26/07/2019,Golems,8.57
26/07/2019,Master Balls,51.52
26/07/2019,Ultra Balls,43.11
26/07/2019,T-800s,208.04
26/07/2019,T-1000s,28.13
26/07/2019,Flubbers,171.82
26/07/2019,Spyders,306.14
26/07/2019,B-4s,48.99
26/07/2019,Ultrons,140.12
26/07/2019,Ruby Slippers,48.33
26/07/2019,Catbuses,569.54
26/07/2019,Evangelions,681.38
26/07/2019,Behelits,450.27
26/07/2019,Lightsabres,10.09
26/07/2019,Devil Fruits,187.49
26/07/2019,SMILEs,174.6
26/07/2019,Cornballers,184.74
26/07/2019,Sabor de Soledad Chips,128.54
26/07/2019,Red Apple Cigarettes,303.77
26/07/2019,Wonka Bars,230.06
26/07/2019,Bags of Holding,194.46
26/07/2019,Sending Stones,872.34
26/07/2019,Elder Wands,218.59
26/07/2019,Dornish Red,108.4
26/07/2019,Valaryian Steel Bars,294.28
26/07/2019,Dragon Eggs,486.37
26/07/2019,Cranium Inflolinks,68.03
26/07/2019,LiDAR Mark-Trackers,183.55
26/07/2019,Arm Nanoblades,240.6
26/07/2019,Replicants,4.97
26/07/2019,Venom Canisters,83.6
26/07/2019,Atium Bars,266.68
26/07/2019,Otataral Bars,20.92
26/07/2019,Night Dust,160.44
26/07/2019,Dragon Scales,207.16
26/07/2019,Teeth of the Dragon,421.28
26/07/2019,Chunin Headband,267.32
26/07/2019,Djinns,165.44
26/07/2019,Flying Brooms,6.24
26/07/2019,Flying Carpets,109.73
26/07/2019,Mjolnirs,626.82
26/07/2019,Infinity Stones,110.73
26/07/2019,Infinity Gauntlets,17.16
26/07/2019,Repulsor Beams,472.88
26/07/2019,Super Soldier Serums,89.59
26/07/2019,Vibranium Bars,521.93
26/07/2019,Adamantium Bars,591.73
26/07/2019,Mithril Bars,3.8
26/07/2019,Rune Bars,169.87
26/07/2019,True Names,72.45
26/07/2019,Sigils,166.63
26/07/2019,Strongest Potions,55.62
