date,product,marketPrice
02/08/2015,Moloko Plus,43.53
02/08/2015,Pan-Galactic Gargle Blaster,732.38
02/08/2015,Victory Gin,75.99
02/08/2015,Vesper,307.66
02/08/2015,Duff,351.76
02/08/2015,Dark Planet Cola,89.96
02/08/2015,Slurm,143.1
02/08/2015,Nuka-cola,27.93
02/08/2015,Ent-draught,34.47
02/08/2015,Ambrosia,58.78
02/08/2015,Romulan Ale,106.76
02/08/2015,Astro Boys,2119.78
02/08/2015,Marvins,73.31
02/08/2015,K-9s,74.39
02/08/2015,Autobots,51.06
02/08/2015,Decepticons,53.31
02/08/2015,Golems,15.31
02/08/2015,Master Balls,77.36
02/08/2015,Ultra Balls,54.6
02/08/2015,T-800s,265.57
02/08/2015,T-1000s,71.45
02/08/2015,Flubbers,408.64
02/08/2015,Spyders,157.02
02/08/2015,B-4s,55.5
02/08/2015,Ultrons,217.16
02/08/2015,Ruby Slippers,56.27
02/08/2015,Catbuses,1098.15
02/08/2015,Evangelions,578.2
02/08/2015,Behelits,1079.04
02/08/2015,Lightsabres,13.25
02/08/2015,Devil Fruits,178.1
02/08/2015,SMILEs,265.61
02/08/2015,Cornballers,218.31
02/08/2015,Sabor de Soledad Chips,166.28
02/08/2015,Red Apple Cigarettes,272.31
02/08/2015,Wonka Bars,310.51
02/08/2015,Bags of Holding,333.13
02/08/2015,Sending Stones,1133.78
02/08/2015,Elder Wands,211.36
02/08/2015,Dornish Red,283.02
02/08/2015,Valaryian Steel Bars,170.76
02/08/2015,Dragon Eggs,446.62
02/08/2015,Cranium Inflolinks,100.83
02/08/2015,LiDAR Mark-Trackers,257.9
02/08/2015,Arm Nanoblades,520.88
02/08/2015,Replicants,7.07
02/08/2015,Venom Canisters,149.75
02/08/2015,Atium Bars,164.84
02/08/2015,Otataral Bars,20.79
02/08/2015,Night Dust,242.95
02/08/2015,Dragon Scales,245.72
02/08/2015,Teeth of the Dragon,314.01
02/08/2015,Chunin Headband,151.58
02/08/2015,Djinns,226.59
02/08/2015,Flying Brooms,10.76
02/08/2015,Flying Carpets,113.83
02/08/2015,Mjolnirs,694.47
02/08/2015,Infinity Stones,122.56
02/08/2015,Infinity Gauntlets,12.26
02/08/2015,Repulsor Beams,729.55
02/08/2015,Super Soldier Serums,137.65
02/08/2015,Vibranium Bars,479.68
